subgroup	name	mu	se	sigma	lb	ub	z	p
Brace	Hjartarson 2018 	0.175273769412061	0.207089399951916	4.28860195724447E-02	-0.230613996073705	0.581161534897827	0.846367653065573	0.397347677662689
Brace	Hunter 2011	0.170241496758103	0.201750110560788	0.04070310711129	-0.225181453818015	0.565664447334221	0.843823561161366	0.398768007391985
Brace	Hunter 2012	3.76461626210521E-02	0.158169894162894	2.50177154195011E-02	-0.272361133376732	0.347653458618837	0.238010923762025	0.811872621701188
Exercise	Foroughi 2011	0.445748855333369	0.209699405913847	4.39738408406202E-02	3.47455721627841E-02	0.856752138503954	2.12565626207116	3.35318912655198E-02
Foot orthosis	Bar-Ziv 2010	-0.203954254112001	0.280836884148972	0.078869355498503	-0.754384432574433	0.346475924350431	-0.726237419739396	0.46769323592036
Foot orthosis	Barrios 2009 	0.325491168241558	0.184300967940821	3.39668467839235E-02	-3.57320912383221E-02	0.686714427721438	1.76608496351508	0.077381595723049
Foot orthosis	Bennell 2011	0.310660405168535	0.103955528937114	1.08067519965952E-02	0.10691131245798	0.51440949787909	2.9883971381307	2.80444882628528E-03
Foot orthosis	Hatef 2014	0.144817195514424	0.128706427295554	1.65653444271858E-02	-0.107442766563685	0.397077157592533	1.12517454300766	0.260515078361242
Foot orthosis	Hinman 2016 	0.60749270600115	0.16121969145388	2.59917889124842E-02	0.291507917152886	0.923477494849414	3.76810487926616	1.64491595064042E-04
Foot orthosis	Pham 2004	-1.98270203101724E-02	0.116259062731145	1.35161696671242E-02	-0.247690596139599	0.208036555519254	-0.170541718162854	0.86458412852264
Foot orthosis	Reichenbach 2020	0.471728176524863	0.100970689554982	1.01950801492086E-02	0.273829261502923	0.669627091546803	4.67193181114198	2.98380025398615E-06
Foot orthosis	Rodrigues 2008	0.176043242658063	0.269323970027971	7.25354008316273E-02	-0.351822038770105	0.703908524086231	0.65364862488764	0.513338209357118
Foot orthosis	Tan 2019	-0.167688843549144	0.303623536955257	9.21872521932204E-02	-0.762780040840114	0.427402353741826	-0.552291977198906	0.580748326389436
Foot orthosis	Toda 2008	0.183558828700801	0.163582179717027	2.67591295209738E-02	-0.137056352057131	0.504174009458733	1.12211995841069	0.261811438943131
Manual therapy	Akbarnezhad 2019	1.02637766808014	0.330229958704841	0.109051825626201	0.379138842402502	1.67361649375778	3.10806951648356	1.88313767283965E-03
Multimodal physiotherapy	Bennell 2005	0.822743696406534	0.141339730182933	1.99769193281842E-02	0.545722915663377	1.09976447714969	5.82103627438425	5.84838732997639E-09
Taping	Donec 2020	0.546944066590676	0.157466299909051	2.47956356070471E-02	0.238315789990154	0.855572343191198	3.47340394044046	5.13901282828133E-04
Taping	Hinman 2003	0.248205961464819	0.188533642808929	3.55449344708047E-02	-0.12131318831482	0.617725111244458	1.31650753556152	0.188003750867692
Taping	Kocyigit 2015	-9.08668087794359E-02	0.224067890210632	0.050206419423444	-0.53003180368415	0.348298186125278	-0.405532487024435	0.685086143528635
Taping	Leon-Ballesteros 2020	0.705145968856642	0.27935365340118	7.80384636685866E-02	0.157622869240644	1.25266906847264	2.52420528699505	1.15960190062778E-02
Taping	Ogut 2018	1.81286142916332	0.296829540346759	0.088107776022468	1.23108622053609	2.39463663779055	6.10741581530437	1.01257180418202E-09
Taping	Rahlf 2019	3.81088716526031E-02	0.145917941312212	0.021292045596794	-0.247885038017561	0.324102781322767	0.261166456365115	0.793964144584712
Taping	Wageck 2016	0.444596938682744	0.235433963758912	5.54291512912327E-02	-1.68451510222318E-02	0.90603902838772	1.88841461777375	5.89703104505466E-02
