subgroup	name	mu	se	sigma	lb	ub	z	p
Brace	Hjartarson 2018	0.967166143454447	0.190935142322791	3.64562285738246E-02	0.592940141118746	1.34139214579015	5.06541714473585	4.07506996147333E-07
Brace	Hunter 2011	0.172731601128957	0.19862967457113	0.039453747620233	-0.216575407291369	0.562038609549283	0.869616292237851	0.384510131224618
Brace	Hunter 2012	6.66430415985898E-02	0.158289343252851	2.50555161874189E-02	-0.243598370313496	0.376884453510676	0.421020393597403	0.673740190149272
Exercise	Foroughi 2011	0.635003387490154	0.245113713514971	6.00807325530992E-02	0.154589336883942	1.11541743809637	2.59064814605475	9.57953796395938E-03
Foot orthosis	Bar-Ziv 2010	1.49481169432972	0.292166630223279	8.53613398160261E-02	0.922175621607662	2.06744776705178	5.116298508106	3.11589804624646E-07
Foot orthosis	Barrios 2009 	0.303854659184086	0.172888389013915	2.98903950558268E-02	-3.50003566283377E-02	0.64270967499651	1.75751917706648	0.078829356050889
Foot orthosis	Bennell 2011	0.237704918032787	9.99151005637532E-02	9.98302732066492E-03	0.041874919416133	0.433534916649441	2.37906899649382	1.73564269196917E-02
Foot orthosis	Hatef 2014	1.6005050335452	0.20003544340335	4.00141786175749E-02	1.20844276884313	1.99256729824727	8.00110723537104	1.33226762955019E-15
Foot orthosis	Hinman 2016 	0.716623346594466	0.16162764774669	2.61234965161281E-02	0.399838978105027	1.0334077150839	4.43379184554854	9.25900250381417E-06
Foot orthosis	Pham 2004	5.09275291706507E-02	0.110503107042385	1.22109366660209E-02	-0.165654580812199	0.267509639153501	0.460869658181797	0.644892121664876
Foot orthosis	Reichenbach 2020	0.855186110494136	0.110920458546851	1.23033481242436E-02	0.637786006593641	1.07258621439463	7.70990421152039	1.26565424807268E-14
Foot orthosis	Rodrigues 2008	1.23604102900284	0.332029621484402	0.110243669543075	0.585274929092946	1.88680712891273	3.72268300483819	1.97116939155251E-04
Foot orthosis	Tan 2019	0.54747680674809	0.309551480231687	9.58221189136286E-02	-5.92329458670793E-02	1.15418655936326	1.76861311190735	0.07695846111306
Foot orthosis	Toda 2008	0.157836679143314	0.153445407960684	2.35454932242208E-02	-0.142910794052683	0.458584152339311	1.02861780773365	0.303659306550155
Manual therapy	Akbarnezhad 2019	1.9404009510134	0.453760314746739	0.20589842323906	1.05104707649623	2.82975482553057	4.27626852316605	1.90051969866101E-05
Multimodal physiotherapy	Bennell 2005	0.758282781147923	0.13280412954117	1.76369368231879E-02	0.497991470249038	1.01857409204681	5.70978315032629	1.13120210976092E-08
Taping	Donec 2020	0.520206372974308	0.154133583807991	2.37571616574949E-02	0.21811009990256	0.822302646046056	3.3750358625434	7.38060722503597E-04
Taping	Hinman 2003	0.415803482991662	0.193555326513796	0.037463664421862	3.64420140087322E-02	0.795164951974592	2.14824097316705	3.16946173167645E-02
Taping	Kocyigit 2015	0.304108300390489	0.223206175156001	4.98209966277712E-02	-0.133367764042211	0.741584364823189	1.36245469095085	0.17305443391159
Taping	Leon-Ballesteros 2020	0.474978942793046	0.263723635891865	0.069550156128025	-4.19098854269642E-02	0.991867771013056	1.8010480599767	7.16953052540119E-02
Taping	Ogut 2018	2.26923323726508	0.339577999142686	0.11531321750175	1.60367258900324	2.93479388552692	6.68250959424371	2.34885444427846E-11
Taping	Rahlf 2019	0.116691993198316	0.14636071082485	2.14214576731553E-02	-0.170169728770071	0.403553715166703	0.797290424053499	0.425282380485698
Taping	Wageck 2016	0.608855528112944	0.237904037650916	5.65983311306086E-02	0.142572182540487	1.0751388736854	2.5592484016868	1.04898756817846E-02
